"date","series","num","ln_num"
"2020-01-22","Total Recovered","28","3.332"
"2020-01-23","Total Recovered","30","3.401"
"2020-01-24","Total Recovered","36","3.584"
"2020-01-25","Total Recovered","39","3.664"
"2020-01-26","Total Recovered","52","3.951"
"2020-01-27","Total Recovered","61","4.111"
"2020-01-28","Total Recovered","107","4.673"
"2020-01-29","Total Recovered","126","4.836"
"2020-01-30","Total Recovered","143","4.963"
"2020-01-31","Total Recovered","222","5.403"
"2020-02-01","Total Recovered","284","5.649"
"2020-02-02","Total Recovered","472","6.157"
"2020-02-03","Total Recovered","623","6.435"
"2020-02-04","Total Recovered","852","6.748"
"2020-02-05","Total Recovered","1124","7.025"
"2020-02-06","Total Recovered","1487","7.305"
"2020-02-07","Total Recovered","2011","7.606"
"2020-02-08","Total Recovered","2616","7.869"
"2020-02-09","Total Recovered","3241","8.084"
"2020-02-10","Total Recovered","3943","8.28"
"2020-02-11","Total Recovered","4680","8.451"
"2020-02-12","Total Recovered","5147","8.546"
"2020-02-13","Total Recovered","6292","8.747"
"2020-02-14","Total Recovered","8055","8.994"
"2020-02-15","Total Recovered","9392","9.148"
"2020-02-16","Total Recovered","10862","9.293"
"2020-02-17","Total Recovered","12580","9.44"
"2020-02-18","Total Recovered","14349","9.571"
"2020-02-19","Total Recovered","16118","9.688"
"2020-02-20","Total Recovered","18174","9.808"
"2020-02-21","Total Recovered","18885","9.846"
"2020-02-22","Total Recovered","22881","10.038"
"2020-02-23","Total Recovered","23389","10.06"
"2020-02-24","Total Recovered","25222","10.135"
"2020-02-25","Total Recovered","27899","10.236"
"2020-02-26","Total Recovered","30378","10.321"
"2020-02-27","Total Recovered","33271","10.412"
"2020-02-28","Total Recovered","36704","10.511"
"2020-02-29","Total Recovered","39775","10.591"
"2020-03-01","Total Recovered","42709","10.662"
"2020-03-02","Total Recovered","45595","10.728"
"2020-03-03","Total Recovered","48221","10.784"
"2020-03-04","Total Recovered","51163","10.843"
"2020-03-05","Total Recovered","53789","10.893"
"2020-03-06","Total Recovered","55858","10.931"
"2020-03-07","Total Recovered","58351","10.974"
"2020-03-08","Total Recovered","60687","11.013"
"2020-03-09","Total Recovered","62487","11.043"
"2020-03-10","Total Recovered","64404","11.073"
"2020-03-11","Total Recovered","67003","11.112"
"2020-03-12","Total Recovered","68324","11.132"
"2020-03-13","Total Recovered","70251","11.16"
"2020-03-14","Total Recovered","72624","11.193"
"2020-03-15","Total Recovered","76034","11.239"
"2020-03-16","Total Recovered","78088","11.266"
"2020-03-17","Total Recovered","80840","11.3"
"2020-03-18","Total Recovered","83207","11.329"
"2020-03-19","Total Recovered","84854","11.349"
"2020-03-20","Total Recovered","87256","11.377"
"2020-03-21","Total Recovered","91499","11.424"
"2020-03-22","Total Recovered","97704","11.49"
"2020-03-23","Total Recovered","100958","11.522"
"2020-03-24","Total Recovered","107241","11.583"
"2020-03-25","Total Recovered","113220","11.637"
"2020-03-26","Total Recovered","121279","11.706"
"2020-03-27","Total Recovered","129784","11.774"
"2020-03-28","Total Recovered","137871","11.834"
"2020-03-29","Total Recovered","145945","11.891"
"2020-03-30","Total Recovered","158450","11.973"
"2020-03-31","Total Recovered","169412","12.04"
"2020-04-01","Total Recovered","183373","12.119"
"2020-04-02","Total Recovered","199527","12.204"
"2020-04-03","Total Recovered","213914","12.273"
"2020-04-04","Total Recovered","228923","12.341"
"2020-04-05","Total Recovered","239552","12.387"
"2020-04-06","Total Recovered","253678","12.444"
"2020-04-07","Total Recovered","274500","12.523"
"2020-04-08","Total Recovered","300948","12.615"
"2020-04-09","Total Recovered","323403","12.687"
"2020-04-10","Total Recovered","341451","12.741"
"2020-04-11","Total Recovered","364251","12.806"
"2020-04-12","Total Recovered","381611","12.852"
"2020-04-13","Total Recovered","397415","12.893"
"2020-04-14","Total Recovered","418288","12.944"
"2020-04-15","Total Recovered","449957","13.017"
"2020-04-16","Total Recovered","477706","13.077"
"2020-04-17","Total Recovered","499253","13.121"
"2020-04-18","Total Recovered","516515","13.155"
"2020-04-19","Total Recovered","541719","13.203"
"2020-04-20","Total Recovered","560866","13.237"
"2020-04-21","Total Recovered","591427","13.29"
"2020-04-22","Total Recovered","617874","13.334"
"2020-01-22","Rest of World","6",NULL
"2020-01-23","Rest of World","10",NULL
"2020-01-24","Rest of World","19",NULL
"2020-01-25","Rest of World","26",NULL
"2020-01-26","Rest of World","38","3.638"
"2020-01-27","Rest of World","45","3.807"
"2020-01-28","Rest of World","64","4.159"
"2020-01-29","Rest of World","74","4.304"
"2020-01-30","Rest of World","88","4.477"
"2020-01-31","Rest of World","116","4.754"
"2020-02-01","Rest of World","137","4.92"
"2020-02-02","Rest of World","147","4.99"
"2020-02-03","Rest of World","152","5.024"
"2020-02-04","Rest of World","172","5.147"
"2020-02-05","Rest of World","182","5.204"
"2020-02-06","Rest of World","194","5.268"
"2020-02-07","Rest of World","267","5.587"
"2020-02-08","Rest of World","292","5.677"
"2020-02-09","Rest of World","307","5.727"
"2020-02-10","Rest of World","394","5.976"
"2020-02-11","Rest of World","401","5.994"
"2020-02-12","Rest of World","447","6.103"
"2020-02-13","Rest of World","457","6.125"
"2020-02-14","Rest of World","511","6.236"
"2020-02-15","Rest of World","601","6.399"
"2020-02-16","Rest of World","695","6.544"
"2020-02-17","Rest of World","808","6.695"
"2020-02-18","Rest of World","909","6.812"
"2020-02-19","Rest of World","1004","6.912"
"2020-02-20","Rest of World","1104","7.007"
"2020-02-21","Rest of World","1234","7.118"
"2020-02-22","Rest of World","1494","7.309"
"2020-02-23","Rest of World","1766","7.476"
"2020-02-24","Rest of World","2040","7.621"
"2020-02-25","Rest of World","2279","7.731"
"2020-02-26","Rest of World","2712","7.905"
"2020-02-27","Rest of World","3433","8.141"
"2020-02-28","Rest of World","4236","8.351"
"2020-02-29","Rest of World","5459","8.605"
"2020-03-01","Rest of World","6669","8.805"
"2020-03-02","Rest of World","8036","8.992"
"2020-03-03","Rest of World","9959","9.206"
"2020-03-04","Rest of World","11496","9.35"
"2020-03-05","Rest of World","13274","9.494"
"2020-03-06","Rest of World","16213","9.694"
"2020-03-07","Rest of World","18792","9.841"
"2020-03-08","Rest of World","21105","9.957"
"2020-03-09","Rest of World","22975","10.042"
"2020-03-10","Rest of World","26625","10.19"
"2020-03-11","Rest of World","31211","10.349"
"2020-03-12","Rest of World","33295","10.413"
"2020-03-13","Rest of World","44421","10.701"
"2020-03-14","Rest of World","51240","10.844"
"2020-03-15","Rest of World","58205","10.972"
"2020-03-16","Rest of World","67929","11.126"
"2020-03-17","Rest of World","78117","11.266"
"2020-03-18","Rest of World","90223","11.41"
"2020-03-19","Rest of World","106632","11.577"
"2020-03-20","Rest of World","124664","11.733"
"2020-03-21","Rest of World","144024","11.878"
"2020-03-22","Rest of World","163104","12.002"
"2020-03-23","Rest of World","188963","12.149"
"2020-03-24","Rest of World","213538","12.272"
"2020-03-25","Rest of World","245828","12.412"
"2020-03-26","Rest of World","283384","12.555"
"2020-03-27","Rest of World","323239","12.686"
"2020-03-28","Rest of World","364757","12.807"
"2020-03-29","Rest of World","399420","12.898"
"2020-03-30","Rest of World","436621","12.987"
"2020-03-31","Rest of World","481244","13.084"
"2020-04-01","Rest of World","526298","13.174"
"2020-04-02","Rest of World","572030","13.257"
"2020-04-03","Rest of World","617993","13.334"
"2020-04-04","Rest of World","660032","13.4"
"2020-04-05","Rest of World","701132","13.46"
"2020-04-06","Rest of World","739602","13.514"
"2020-04-07","Rest of World","780667","13.568"
"2020-04-08","Rest of World","828919","13.628"
"2020-04-09","Rest of World","875989","13.683"
"2020-04-10","Rest of World","930473","13.743"
"2020-04-11","Rest of World","973969","13.789"
"2020-04-12","Rest of World","1039911","13.855"
"2020-04-13","Rest of World","1081490","13.894"
"2020-04-14","Rest of World","1122727","13.931"
"2020-04-15","Rest of World","1171193","13.974"
"2020-04-16","Rest of World","1232501","14.025"
"2020-04-17","Rest of World","1284290","14.066"
"2020-04-18","Rest of World","1325849","14.098"
"2020-04-19","Rest of World","1379515","14.137"
"2020-04-20","Rest of World","1422887","14.168"
"2020-04-21","Rest of World","1469447","14.2"
"2020-04-22","Rest of World","1512543","14.229"
"2020-01-22","China","548","6.306"
"2020-01-23","China","643","6.466"
"2020-01-24","China","920","6.824"
"2020-01-25","China","1406","7.249"
"2020-01-26","China","2075","7.638"
"2020-01-27","China","2877","7.965"
"2020-01-28","China","5509","8.614"
"2020-01-29","China","6087","8.714"
"2020-01-30","China","8141","9.005"
"2020-01-31","China","9802","9.19"
"2020-02-01","China","11891","9.384"
"2020-02-02","China","16630","9.719"
"2020-02-03","China","19716","9.889"
"2020-02-04","China","23707","10.074"
"2020-02-05","China","27440","10.22"
"2020-02-06","China","30587","10.328"
"2020-02-07","China","34110","10.437"
"2020-02-08","China","36814","10.514"
"2020-02-09","China","39829","10.592"
"2020-02-10","China","42354","10.654"
"2020-02-11","China","44386","10.701"
"2020-02-12","China","44759","10.709"
"2020-02-13","China","59895","11"
"2020-02-14","China","66358","11.103"
"2020-02-15","China","68413","11.133"
"2020-02-16","China","70513","11.164"
"2020-02-17","China","72434","11.19"
"2020-02-18","China","74211","11.215"
"2020-02-19","China","74619","11.22"
"2020-02-20","China","75077","11.226"
"2020-02-21","China","75550","11.233"
"2020-02-22","China","77001","11.252"
"2020-02-23","China","77022","11.252"
"2020-02-24","China","77241","11.255"
"2020-02-25","China","77754","11.261"
"2020-02-26","China","78166","11.267"
"2020-02-27","China","78600","11.272"
"2020-02-28","China","78928","11.276"
"2020-02-29","China","79356","11.282"
"2020-03-01","China","79932","11.289"
"2020-03-02","China","80136","11.291"
"2020-03-03","China","80261","11.293"
"2020-03-04","China","80386","11.295"
"2020-03-05","China","80537","11.296"
"2020-03-06","China","80690","11.298"
"2020-03-07","China","80770","11.299"
"2020-03-08","China","80823","11.3"
"2020-03-09","China","80860","11.3"
"2020-03-10","China","80887","11.301"
"2020-03-11","China","80921","11.301"
"2020-03-12","China","80932","11.301"
"2020-03-13","China","80945","11.302"
"2020-03-14","China","80977","11.302"
"2020-03-15","China","81003","11.302"
"2020-03-16","China","81033","11.303"
"2020-03-17","China","81058","11.303"
"2020-03-18","China","81102","11.303"
"2020-03-19","China","81156","11.304"
"2020-03-20","China","81250","11.305"
"2020-03-21","China","81305","11.306"
"2020-03-22","China","81435","11.308"
"2020-03-23","China","81498","11.308"
"2020-03-24","China","81591","11.309"
"2020-03-25","China","81661","11.31"
"2020-03-26","China","81782","11.312"
"2020-03-27","China","81897","11.313"
"2020-03-28","China","81999","11.314"
"2020-03-29","China","82122","11.316"
"2020-03-30","China","82198","11.317"
"2020-03-31","China","82279","11.318"
"2020-04-01","China","82361","11.319"
"2020-04-02","China","82432","11.32"
"2020-04-03","China","82511","11.321"
"2020-04-04","China","82543","11.321"
"2020-04-05","China","82602","11.322"
"2020-04-06","China","82665","11.323"
"2020-04-07","China","82718","11.323"
"2020-04-08","China","82809","11.324"
"2020-04-09","China","82883","11.325"
"2020-04-10","China","82941","11.326"
"2020-04-11","China","83014","11.327"
"2020-04-12","China","83134","11.328"
"2020-04-13","China","83213","11.329"
"2020-04-14","China","83306","11.33"
"2020-04-15","China","83356","11.331"
"2020-04-16","China","83403","11.331"
"2020-04-17","China","83760","11.336"
"2020-04-18","China","83787","11.336"
"2020-04-19","China","83805","11.336"
"2020-04-20","China","83817","11.336"
"2020-04-21","China","83853","11.337"
"2020-04-22","China","83868","11.337"
"2020-01-22","Italy","0",NULL
"2020-01-23","Italy","0",NULL
"2020-01-24","Italy","0",NULL
"2020-01-25","Italy","0",NULL
"2020-01-26","Italy","0",NULL
"2020-01-27","Italy","0",NULL
"2020-01-28","Italy","0",NULL
"2020-01-29","Italy","0",NULL
"2020-01-30","Italy","0",NULL
"2020-01-31","Italy","2",NULL
"2020-02-01","Italy","2",NULL
"2020-02-02","Italy","2",NULL
"2020-02-03","Italy","2",NULL
"2020-02-04","Italy","2",NULL
"2020-02-05","Italy","2",NULL
"2020-02-06","Italy","2",NULL
"2020-02-07","Italy","3",NULL
"2020-02-08","Italy","3",NULL
"2020-02-09","Italy","3",NULL
"2020-02-10","Italy","3",NULL
"2020-02-11","Italy","3",NULL
"2020-02-12","Italy","3",NULL
"2020-02-13","Italy","3",NULL
"2020-02-14","Italy","3",NULL
"2020-02-15","Italy","3",NULL
"2020-02-16","Italy","3",NULL
"2020-02-17","Italy","3",NULL
"2020-02-18","Italy","3",NULL
"2020-02-19","Italy","3",NULL
"2020-02-20","Italy","3",NULL
"2020-02-21","Italy","20",NULL
"2020-02-22","Italy","62","4.127"
"2020-02-23","Italy","155","5.043"
"2020-02-24","Italy","229","5.434"
"2020-02-25","Italy","322","5.775"
"2020-02-26","Italy","453","6.116"
"2020-02-27","Italy","655","6.485"
"2020-02-28","Italy","888","6.789"
"2020-02-29","Italy","1128","7.028"
"2020-03-01","Italy","1694","7.435"
"2020-03-02","Italy","2036","7.619"
"2020-03-03","Italy","2502","7.825"
"2020-03-04","Italy","3089","8.036"
"2020-03-05","Italy","3858","8.258"
"2020-03-06","Italy","4636","8.442"
"2020-03-07","Italy","5883","8.68"
"2020-03-08","Italy","7375","8.906"
"2020-03-09","Italy","9172","9.124"
"2020-03-10","Italy","10149","9.225"
"2020-03-11","Italy","12462","9.43"
"2020-03-12","Italy","12462","9.43"
"2020-03-13","Italy","17660","9.779"
"2020-03-14","Italy","21157","9.96"
"2020-03-15","Italy","24747","10.116"
"2020-03-16","Italy","27980","10.239"
"2020-03-17","Italy","31506","10.358"
"2020-03-18","Italy","35713","10.483"
"2020-03-19","Italy","41035","10.622"
"2020-03-20","Italy","47021","10.758"
"2020-03-21","Italy","53578","10.889"
"2020-03-22","Italy","59138","10.988"
"2020-03-23","Italy","63927","11.065"
"2020-03-24","Italy","69176","11.144"
"2020-03-25","Italy","74386","11.217"
"2020-03-26","Italy","80589","11.297"
"2020-03-27","Italy","86498","11.368"
"2020-03-28","Italy","92472","11.435"
"2020-03-29","Italy","97689","11.49"
"2020-03-30","Italy","101739","11.53"
"2020-03-31","Italy","105792","11.569"
"2020-04-01","Italy","110574","11.613"
"2020-04-02","Italy","115242","11.655"
"2020-04-03","Italy","119827","11.694"
"2020-04-04","Italy","124632","11.733"
"2020-04-05","Italy","128948","11.767"
"2020-04-06","Italy","132547","11.795"
"2020-04-07","Italy","135586","11.817"
"2020-04-08","Italy","139422","11.845"
"2020-04-09","Italy","143626","11.875"
"2020-04-10","Italy","147577","11.902"
"2020-04-11","Italy","152271","11.933"
"2020-04-12","Italy","156363","11.96"
"2020-04-13","Italy","159516","11.98"
"2020-04-14","Italy","162488","11.998"
"2020-04-15","Italy","165155","12.015"
"2020-04-16","Italy","168941","12.037"
"2020-04-17","Italy","172434","12.058"
"2020-04-18","Italy","175925","12.078"
"2020-04-19","Italy","178972","12.095"
"2020-04-20","Italy","181228","12.108"
"2020-04-21","Italy","183957","12.122"
"2020-04-22","Italy","187327","12.141"
"2020-01-22","US","0",NULL
"2020-01-23","US","0",NULL
"2020-01-24","US","0",NULL
"2020-01-25","US","0",NULL
"2020-01-26","US","0",NULL
"2020-01-27","US","0",NULL
"2020-01-28","US","0",NULL
"2020-01-29","US","0",NULL
"2020-01-30","US","0",NULL
"2020-01-31","US","0",NULL
"2020-02-01","US","0",NULL
"2020-02-02","US","0",NULL
"2020-02-03","US","0",NULL
"2020-02-04","US","0",NULL
"2020-02-05","US","0",NULL
"2020-02-06","US","0",NULL
"2020-02-07","US","0",NULL
"2020-02-08","US","0",NULL
"2020-02-09","US","0",NULL
"2020-02-10","US","0",NULL
"2020-02-11","US","0",NULL
"2020-02-12","US","0",NULL
"2020-02-13","US","0",NULL
"2020-02-14","US","0",NULL
"2020-02-15","US","0",NULL
"2020-02-16","US","0",NULL
"2020-02-17","US","0",NULL
"2020-02-18","US","0",NULL
"2020-02-19","US","0",NULL
"2020-02-20","US","0",NULL
"2020-02-21","US","0",NULL
"2020-02-22","US","0",NULL
"2020-02-23","US","0",NULL
"2020-02-24","US","36",NULL
"2020-02-25","US","36",NULL
"2020-02-26","US","42",NULL
"2020-02-27","US","42",NULL
"2020-02-28","US","44",NULL
"2020-02-29","US","44",NULL
"2020-03-01","US","44",NULL
"2020-03-02","US","45",NULL
"2020-03-03","US","45",NULL
"2020-03-04","US","45",NULL
"2020-03-05","US","45",NULL
"2020-03-06","US","45",NULL
"2020-03-07","US","66",NULL
"2020-03-08","US","66",NULL
"2020-03-09","US","66",NULL
"2020-03-10","US","959","6.866"
"2020-03-11","US","1281","7.155"
"2020-03-12","US","1663","7.416"
"2020-03-13","US","2179","7.687"
"2020-03-14","US","2727","7.911"
"2020-03-15","US","3499","8.16"
"2020-03-16","US","4632","8.441"
"2020-03-17","US","6421","8.767"
"2020-03-18","US","7783",NULL
"2020-03-19","US","13677",NULL
"2020-03-20","US","19100",NULL
"2020-03-21","US","25489",NULL
"2020-03-22","US","33272",NULL
"2020-03-23","US","43663",NULL
"2020-03-24","US","53736",NULL
"2020-03-25","US","65778",NULL
"2020-03-26","US","83836",NULL
"2020-03-27","US","101657",NULL
"2020-03-28","US","121465",NULL
"2020-03-29","US","140909",NULL
"2020-03-30","US","161831",NULL
"2020-03-31","US","188172",NULL
"2020-04-01","US","213372",NULL
"2020-04-02","US","243599",NULL
"2020-04-03","US","275586",NULL
"2020-04-04","US","308853",NULL
"2020-04-05","US","337072",NULL
"2020-04-06","US","366667",NULL
"2020-04-07","US","396223",NULL
"2020-04-08","US","429052",NULL
"2020-04-09","US","461437",NULL
"2020-04-10","US","496535",NULL
"2020-04-11","US","526396",NULL
"2020-04-12","US","555313",NULL
"2020-04-13","US","580619",NULL
"2020-04-14","US","607670",NULL
"2020-04-15","US","636350",NULL
"2020-04-16","US","667801",NULL
"2020-04-17","US","699706",NULL
"2020-04-18","US","732197",NULL
"2020-04-19","US","759086",NULL
"2020-04-20","US","784326",NULL
"2020-04-21","US","812036",NULL
"2020-04-22","US","839675",NULL
